台帳ID,種別,カテゴリID,カテゴリ名,項目ID,質問・タイトル,要約,回答本文(改行は空白化),注目,更新日,参照リンク,最終確認日,確認ステータス,担当
FAQ-bil003,FAQ,billing,請求・お支払いについて,bil003,請求書をPDFや印刷用の形式で出力できますか？,,はい、「請求書詳細」画面の「PDFダウンロード」ボタンや「印刷」ボタンから、それぞれご希望の形式で出力することが可能です。,,,/05_support/faq/#bil003,,,
FAQ-bil004,FAQ,billing,請求・お支払いについて,bil004,支払い方法は何が使えますか？請求書払い（銀行振込）は可能ですか？,,クレジットカード決済（Visa / Mastercard / JCB / American Express）を標準としています。スタンダードプラン以上の年間契約では、請求書払い（銀行振込、月末締め翌月末払い）にも対応可能です。請求書払いをご希望の場合はサポートまでご連絡ください。 ※仮文言。対応プランの条件・支払いサイトは運用担当に要確認。,,,/05_support/faq/#bil004,,,
FAQ-bil005,FAQ,billing,請求・お支払いについて,bil005,インボイス制度（適格請求書）に対応していますか？,,当社はインボイス制度（適格請求書等保存方式）に対応しています。発行する請求書には、適格請求書発行事業者登録番号（T＋13桁）および税率別内訳を記載しております。登録番号の詳細は請求書PDF、またはフッターの「特定商取引法に基づく表示」をご確認ください。 ※登録番号および表示内容は本番公開時に確定・記載予定。,,,/05_support/faq/#bil005,,,
FAQ-func000,FAQ,features,機能の詳細について,func000,新しいアンケートを作成するには？,,ダッシュボードの「アンケート一覧」画面にある「アンケート新規作成」ボタンから作成を開始できます。質問の追加、質問タイプの選択、デザインのカスタマイズなどを経て、QRコードを発行します。,,,/05_support/faq/#func000,,,
FAQ-func001,FAQ,features,機能の詳細について,func001,作成したアンケートの質問の順番を後から変更できますか？,,はい、作成画面で質問項目をドラッグ＆ドロップするだけで、直感的に順番を入れ替えることが可能です。,,,/05_support/faq/#func001,,,
FAQ-func002,FAQ,features,機能の詳細について,func002,アンケートの回答データをExcelなどでダウンロードできますか？,,はい、データエクスポート機能をご利用いただくことで、アンケートの回答データをCSV形式でダウンロードできます。,★,,/05_support/faq/#func002,,,
FAQ-func003,FAQ,features,機能の詳細について,func003,回答者によって表示する質問を変えることはできますか？,,現在、回答内容によって後続の質問を分岐させる条件分岐機能はプレミアムプラン以上で提供しております。,,,/05_support/faq/#func003,,,
FAQ-func004,FAQ,features,機能の詳細について,func004,アンケート回答後のお礼画面（サンクス画面）のメッセージは変更できますか？,,はい、アンケート作成時の「サンクス画面設定」から、メッセージを自由にカスタマイズできます。,,,/05_support/faq/#func004,,,
FAQ-func005,FAQ,features,機能の詳細について,func005,回答の途中でページを閉じてしまった場合、入力内容は失われますか？,,ご安心ください。回答内容は定期的に自動で下書き保存されます。再度同じアンケートページを開くと、途中から入力を再開できます。,★,,/05_support/faq/#func005,,,
FAQ-func006,FAQ,features,機能の詳細について,func006,名刺を持っていない人にも回答してもらえますか？,,はい、アンケート回答画面にある「名刺が手元に無い方向け」ボタンを押すことで、名刺がなくても連絡先などを直接入力していただけます。,,,/05_support/faq/#func006,,,
FAQ-func008,FAQ,features,機能の詳細について,func008,名刺データやアンケート回答は、どの形式でエクスポートできますか？退会後も残りますか？,,アンケート回答データはCSV形式（UTF-8 BOM付き、Microsoft Excel 2016 以降 Windows 版で直接読込可能）でエクスポートいただけます。macOS 版 Excel や古いバージョンでは文字コード指定のうえお開きください。名刺データはCSVに加え、プレミアムプランではvCard（.vcf）形式にも対応しています。アカウント退会後、一定期間は業務データのエクスポートが可能です。保存期間経過後、業務データから削除いたします（法定保存義務のあるデータについては、所定期間経過後に削除）。 詳細はプライバシーポリシーをご確認ください。,,,/05_support/faq/#func008,,,
HELP-gs001,ヘルプ記事,getting-started,はじめに,gs001,SPEED ADとはどのようなサービスですか？,SPEED ADは展示会・セミナーのリード管理を一元化するWebサービス。アンケート作成・名刺データ化・お礼メール送信をブラウザ上で完結できます。,SPEED ADは、展示会やセミナーでのリード管理プロセスを一元化するWebアプリケーションです。 ## 主な機能 - **アンケート作成**: QRコード付きの回答フォームを発行 - **名刺データ化**: 撮影した名刺画像をテキストデータに変換 - **お礼メール送信**: 回答者への自動フォローアップ 一連の作業をブラウザ上で完結でき、手作業による入力や追いかけ連絡の手間を減らせます。 初めての方は、まず[最初のアンケートを作成](help-content.html?article=gs002)してみましょう。,★,2026-04-22,/05_support/help-content/?article=gs001,,,
HELP-gs002,ヘルプ記事,getting-started,はじめに,gs002,まず何から始めればいいですか？,まずは最初のアンケートを作成してみましょう。テンプレートを使えば数ステップで公開できます。,まずは最初のアンケートを作成してみましょう。テンプレートを活用すれば、数ステップで公開できます。 ## 作成の流れ 1. ダッシュボードの **「アンケート新規作成」** ボタンをクリック 2. 用途に合ったテンプレートを選択 3. 質問内容を編集 4. プレビューで確認し、公開 > テンプレートを使わずゼロから作成することも可能です。 詳しい手順は[新しいアンケートを作成するには？](help-content.html?article=use001)を参照してください。,★,2026-04-22,/05_support/help-content/?article=gs002,,,
HELP-gs003,ヘルプ記事,getting-started,はじめに,gs003,ダッシュボード画面の見方を教えてください。,アンケート一覧・最近の回答状況・お知らせなど、ダッシュボードの主なエリアとサイドバーの役割を解説します。,ログイン後のダッシュボード画面は、日々の利用の起点となる画面です。 ## 主なエリア - **アンケート一覧**: 作成したアンケートの一覧と回答状況 - **最近の回答状況**: 直近に届いた回答の概況 - **お知らせ**: システムメンテナンスや新機能のアナウンス ## サイドバーの役割 左側のサイドバーから、アンケート作成・グラフ分析・請求書・アカウント設定など、各機能へ直接アクセスできます。 > スマートフォンでは、画面左上のメニューアイコンからサイドバーを開けます。,,2026-04-22,/05_support/help-content/?article=gs003,,,
HELP-gs004,ヘルプ記事,getting-started,はじめに,gs004,スマートフォンやタブレットでも利用できますか？,スマートフォン・タブレット・PCに対応。推奨ブラウザはChrome、Firefox、Safari、Edgeの最新版です。,はい、スマートフォン・タブレット・PCのいずれでもご利用いただけます。 ## 対応 - **レスポンシブデザイン**: 画面サイズに合わせて表示が最適化 - **回答画面**: 回答者のデバイスを問わず快適に入力可能 ## 推奨環境 最新版の以下のブラウザを推奨しています。 - Google Chrome - Firefox - Safari - Microsoft Edge > 表示に不具合がある場合は、[画面が正しく表示されません](help-content.html?article=ts003)をご確認ください。,,2026-04-22,/05_support/help-content/?article=gs004,,,
HELP-gs005,ヘルプ記事,getting-started,はじめに,gs005,サポートへの問い合わせ方法を教えてください。,サイドバーの「お問い合わせ」から連絡可能。OS・ブラウザ情報・操作手順を添えるとスムーズです。,"ヘルプ記事で解決しない問題がある場合は、サポートチームへご連絡ください。 ## 問い合わせ手順 1. サイドバーの **「お問い合わせ」** メニューを開く 2. ご質問内容を記載 3. 発生日時・画面の情報を添えて送信 ## スムーズな対応のために 以下の情報を併記いただくと、解決までの時間を短縮できます。 - ご利用の **OS**（例: Windows 11, macOS 14） - **ブラウザ名とバージョン**（例: Chrome 122） - 発生した **操作の手順** - スクリーンショット（任意）",,2026-04-22,/05_support/help-content/?article=gs005,,,
HELP-acc001,ヘルプ記事,account,アカウント設定,acc001,登録しているメールアドレスを変更したい,アカウント設定から変更可能。確認メールのリンクを踏むまでは旧アドレスが有効です。,アカウント設定ページから、登録メールアドレスを変更できます。 ## 変更手順 1. サイドバーまたはヘッダーから **アカウント設定** を開く 2. **「メールアドレス」** 欄に新しいアドレスを入力 3. 保存すると、新アドレス宛に確認メールが届く 4. メール内のリンクをクリックし、変更を確定 > 確認リンクをクリックするまでは、旧アドレスがそのまま利用されます。 メールが届かない場合は[登録したのにメールが届きません](help-content.html?article=ts004)をご確認ください。,★,2026-04-22,/05_support/help-content/?article=acc001,,,
HELP-acc002,ヘルプ記事,account,アカウント設定,acc002,登録情報を確認・変更したい,会社名・氏名・ご担当者情報をアカウント設定の「基本情報」タブから変更できます。,アカウント設定ページで、お客様の登録情報を確認・変更できます。 ## 変更できる項目 - 会社名 - 氏名 - ご担当者情報 ## 手順 1. サイドバーまたはヘッダーから **アカウント設定** を開く 2. **「基本情報」** タブを開く 3. 変更したい項目を編集し、保存 > メールアドレスの変更は[こちら](help-content.html?article=acc001)、パスワードの変更は[こちら](help-content.html?article=acc004)をご参照ください。,,2026-04-22,/05_support/help-content/?article=acc002,,,
HELP-acc003,ヘルプ記事,account,アカウント設定,acc003,二段階認証を設定したい,認証アプリまたはSMSで二段階認証を設定可能。不正ログイン防止のため有効化を推奨しています。,"アカウントのセキュリティ強化のため、**二段階認証の設定を推奨しています**。 ## 利用できる認証方式 - **認証アプリ**（Google Authenticator, Authy など） - **SMS**（登録済み電話番号に確認コード送信） ## 設定手順 1. **アカウント設定** を開く 2. **「セキュリティ」** タブを選択 3. 認証方式を選んで設定 4. 画面の指示に従ってセットアップを完了 > 二段階認証を有効化すると、パスワード漏えいによる不正ログインを大幅に防げます。",,2026-04-22,/05_support/help-content/?article=acc003,,,
HELP-acc004,ヘルプ記事,account,アカウント設定,acc004,パスワードを変更したい,アカウント設定の「セキュリティ」タブから変更。8文字以上・英数記号混在のパスワードを推奨します。,アカウント設定からパスワードを変更できます。 ## 変更手順 1. **アカウント設定** を開く 2. **「セキュリティ」** タブを選択 3. **現在のパスワード** を入力 4. **新しいパスワード** を入力し、確認用に再入力 5. 保存をクリック > 強固なパスワードには、**8文字以上**・**英数記号の混在** をおすすめします。あわせて[二段階認証の設定](help-content.html?article=acc003)もご検討ください。,,2026-04-22,/05_support/help-content/?article=acc004,,,
HELP-acc005,ヘルプ記事,account,アカウント設定,acc005,組織の他のメンバーを招待・管理できますか？,グループ管理機能でメンバーを招待し、アンケートや回答データを共同で運用できます。,はい、**グループ管理** 機能で、複数ユーザーによる共同運用が可能です。 ## できること - メンバーの招待 - アンケートの共有 - 回答データの共同確認 ## 招待の流れ 1. サイドバーから **「グループ管理」** を開く 2. メンバーのメールアドレスを入力して招待 3. 招待を受けた方がサインアップすると、同じグループで作業できるようになります > チームで展示会・セミナー対応を行う場合に便利です。,,2026-04-22,/05_support/help-content/?article=acc005,,,
HELP-ts001,ヘルプ記事,troubleshooting,困ったときは,ts001,ログインできません,入力ミス・Caps Lockの確認、パスワード再設定、別ブラウザでの再試行の順にチェックしてください。,ログインできない場合は、以下の順にご確認ください。 ## チェックリスト 1. **メールアドレス** と **パスワード** の入力ミスがないか確認 2. Caps Lock / 全角英数字が混ざっていないか確認 3. ログイン画面の **「パスワードを忘れた方」** からパスワードを再設定 4. 別のブラウザ（最新版の Chrome / Firefox 推奨）で再度試す > それでも解決しない場合は、ご利用の環境（OS、ブラウザのバージョン）を添えて[お問い合わせ](bug-report.html)ください。,★,2026-04-22,/05_support/help-content/?article=ts001,,,
HELP-ts002,ヘルプ記事,troubleshooting,困ったときは,ts002,QRコードが読み取れません,印刷サイズ・カメラレンズ・光の反射を確認。それでも読めない場合は画面表示のQRで試しましょう。,QRコードが読み取れない場合、以下をご確認ください。 ## よくある原因 - QRコードの **サイズが小さすぎる** - **印刷が不鮮明**（かすれ・にじみ） - スマートフォンの **カメラレンズが汚れている** - 強い光の反射で印刷面が見えづらい ## 対処法 1. QRコードをなるべく **大きく、はっきりと** 印刷する 2. 反射の少ない紙を選ぶ 3. 読み取るスマートフォンのカメラを拭く 4. 画面表示のQRコードを読み取る場合は、画面の輝度を上げる > それでも改善しない場合は[お問い合わせ](bug-report.html)ください。,,2026-04-22,/05_support/help-content/?article=ts002,,,
HELP-ts003,ヘルプ記事,troubleshooting,困ったときは,ts003,画面が正しく表示されません,強制再読み込み（Ctrl+F5）、キャッシュクリア、別ブラウザ、シークレットモードの順にお試しください。,画面表示が崩れる・一部が見えないなどの場合は、以下の順にお試しください。 ## 対処ステップ 1. **ページを再読み込み** する（Windows: `Ctrl+F5` / Mac: `Cmd+Shift+R`） 2. ブラウザの **キャッシュをクリア** する 3. **別のブラウザ** でアクセスする（Google Chrome、Firefox の最新版推奨） 4. シークレットモード（プライベートブラウズ）で試す > 拡張機能（Ad Blocker など）が表示に影響している場合もあります。,,2026-04-22,/05_support/help-content/?article=ts003,,,
HELP-ts004,ヘルプ記事,troubleshooting,困ったときは,ts004,登録したのにメールが届きません,迷惑メールフォルダの確認、アドレスの入力ミス、ドメイン受信許可リストへの @speed-ad.com 追加を確認してください。,登録後やパスワード再設定のメールが届かない場合、以下をご確認ください。 ## チェックリスト 1. **迷惑メール（スパム）フォルダ** に振り分けられていないか確認 2. メールアドレスの入力ミスがないか確認 3. 受信許可リストに `@speed-ad.com` ドメインを追加 4. 数分待ってから再度受信を確認 ## 企業アカウントの場合 社内のメールフィルタやセキュリティソフトで自動的にブロックされている可能性があります。管理者にお問い合わせください。 > 30分以上経過しても届かない場合は、[お問い合わせ](bug-report.html)までご連絡ください。,,2026-04-22,/05_support/help-content/?article=ts004,,,
HELP-ts005,ヘルプ記事,troubleshooting,困ったときは,ts005,データのダウンロードが始まりません,生成待ち・ブロック・ネットワークを確認。10分以上待っても開始しない場合はサポートにご連絡ください。,データのダウンロードが始まらない場合、以下をご確認ください。 ## よくある原因 - 回答件数が多く、ファイル生成に時間がかかっている - ブラウザがダウンロードをブロックしている - ネットワーク接続が一時的に不安定 ## 対処法 1. **数分待って** から再度ダウンロードを試す 2. ブラウザ上部にポップアップブロックの表示がないか確認 3. ブラウザを再起動してから試す 4. 別のブラウザでアクセスしてダウンロード > 10分以上待っても改善しない場合は、[お問い合わせ](bug-report.html)ください。,,2026-04-22,/05_support/help-content/?article=ts005,,,
HELP-plan001,ヘルプ記事,plans-billing,料金・請求,plan001,無料プランではどこまでできますか？,無料プランではアンケート最大20問・名刺データ化2項目まで利用可能。条件分岐等の高度機能はアップグレードが必要です。,無料プランでは、アンケート作成と名刺データ化の **基本機能** をご利用いただけます。 ## ご利用可能な機能 - アンケート作成（最大 **20問** まで） - 名刺データ化（**2項目** まで） - 基本的なレポート機能 ## 主な制限 - 質問数の上限 - 名刺データ化項目数の上限 - 一部の高度な分析・自動化機能 > より多くの質問数・項目数や、条件分岐・自動メール送信などをご利用になる場合は、[プランのアップグレード](help-content.html?article=plan004)をご検討ください。,★,2026-04-22,/05_support/help-content/?article=plan001,,,
HELP-plan002,ヘルプ記事,plans-billing,料金・請求,plan002,お礼メールを自社のメールアドレスから送信したいです。,プレミアムプラン限定で、ドメイン認証（SPF/DKIM）後に自社アドレスからメール送信できます。,自社ドメインのメールアドレスからお礼メールを送信できます（**プレミアムプラン** の機能）。 ## メリット - 受信者にとって **送信元が明確** になり開封率が向上 - ブランドイメージの統一 - 自社宛の返信を受け取りやすい ## 必要な設定 1. プレミアムプランへアップグレード 2. ご利用メールアドレスの **ドメイン認証**（SPF / DKIM の設定）を実施 3. 認証完了後、送信元アドレスとして選択可能に > ドメイン認証は簡単な手順で完了できます。詳細はサポートへお問い合わせください。,,2026-04-22,/05_support/help-content/?article=plan002,,,
HELP-plan003,ヘルプ記事,plans-billing,料金・請求,plan003,名刺を急いでデータ化してもらうことは可能ですか？,特急・超特急・オンデマンドの3プランをご用意。納期と料金のバランスでお選びいただけます。,はい、急ぎで名刺データ化が必要な場合に、スピード優先のプランをご用意しています。 ## 利用可能なプラン - **特急作業プラン**（スタンダードプラン以上） - **超特急作業プラン**（プレミアムプラン） - **オンデマンドプラン**（プレミアムプラン） ## 選び方 納期と料金のバランスでお選びください。プランにより料金・納期が異なります。詳細は営業担当またはサポートへお問い合わせください。 > 通常プランの納期で足りる場合はそのままでご利用いただけます。,,2026-04-22,/05_support/help-content/?article=plan003,,,
HELP-plan004,ヘルプ記事,plans-billing,料金・請求,plan004,プランのアップグレードはいつでもできますか？,アカウント設定の「契約プラン」タブからいつでもアップグレード可能。差額分のみが請求されます。,はい、**いつでもアップグレード可能** です。 ## 手順 1. **アカウント設定** を開く 2. **「契約プラン」** タブを選択 3. アップグレード先のプランを選択 4. 差額の料金を確認して決済 ## アップグレード後 - **即時適用** され、上位プランの機能がすぐに使えるようになります - すでにお支払い済みの料金に対して差額分のみが請求されます > 無料プランの内容は[無料プランではどこまでできますか？](help-content.html?article=plan001)をご確認ください。,,2026-04-22,/05_support/help-content/?article=plan004,,,
HELP-plan005,ヘルプ記事,plans-billing,料金・請求,plan005,月の途中で契約した場合、料金は日割りになりますか？,日割り計算は行っておりません。月の途中でも1ヶ月分の料金が発生しますのでご注意ください。,料金の **日割り計算は行っておりません**。 ## ご注意 - 月の **途中** に契約された場合でも、**1ヶ月分の料金** が発生します - 契約日にかかわらず、次回請求サイクルが適用されます > 契約のタイミングによっては、月初に契約いただく方がお得になる場合があります。,,2026-04-22,/05_support/help-content/?article=plan005,,,
HELP-bil001,ヘルプ記事,plans-billing,料金・請求,bil001,利用可能な支払い方法は何ですか？,クレジットカード（VISA/Mastercard/Amex）と銀行振込に対応。請求書払い希望の場合はサポートまで。,以下の2つの支払い方法に対応しています。 ## 対応方法 - **クレジットカード** - **銀行振込** ## 利用可能なカードブランド - VISA - Mastercard - American Express ## 登録手順 1. **アカウント設定** を開く 2. **「お支払い方法」** タブを選択 3. ご希望の支払い方法を登録 > 請求書払いをご希望の場合はサポートへお問い合わせください。,,2026-04-22,/05_support/help-content/?article=bil001,,,
HELP-bil002,ヘルプ記事,plans-billing,料金・請求,bil002,過去の請求内容を確認したいです。,サイドバーの「請求書一覧」から金額内訳・支払い状況・請求期間を確認できます。,過去の請求書は、ダッシュボードからいつでも確認できます。 ## 確認手順 1. サイドバーの **「請求書一覧」** を開く 2. 表示された一覧から確認したい請求書を選択 3. **「詳細」** ボタンをクリック ## 確認できる情報 - 請求金額の内訳 - 支払い状況（支払済み／未払い） - 請求期間 > PDFや印刷での出力方法は[請求書をPDFや印刷用の形式で出力できますか？](help-content.html?article=bil003)をご確認ください。,,2026-04-22,/05_support/help-content/?article=bil002,,,
HELP-bil003,ヘルプ記事,plans-billing,料金・請求,bil003,請求書をPDFや印刷用の形式で出力できますか？,請求書詳細画面からPDFダウンロードまたは印刷が可能。経費精算の添付資料としてご利用いただけます。,はい、請求書をPDFまたは印刷形式で出力できます。 ## 手順 1. **請求書一覧** から対象の請求書を開く 2. **請求書詳細** 画面で以下のいずれかをクリック ## 出力形式 - **PDFダウンロード**: PDFファイルとして保存 - **印刷**: プリンタで直接印刷 > 経費精算や社内稟議の添付資料としてご利用ください。,,2026-04-22,/05_support/help-content/?article=bil003,,,
HELP-bil004,ヘルプ記事,plans-billing,料金・請求,bil004,領収書は発行されますか？,カード払いはご利用明細、銀行振込はお振込控えが領収書代わり。別途必要な場合はお問い合わせください。,お支払い方法ごとに、領収書代替のご案内です。 ## クレジットカード払いの場合 カード会社発行の **ご利用明細** を領収書の代わりとしてご利用ください。 ## 銀行振込の場合 **お振込時の控え** を大切に保管してください。 ## 別途領収書が必要な場合 書面での領収書が必要な場合は、[お問い合わせ](bug-report.html)よりご連絡ください。会社名・宛名・金額をお知らせください。,,2026-04-22,/05_support/help-content/?article=bil004,,,
HELP-bil005,ヘルプ記事,plans-billing,料金・請求,bil005,プランを解約したい,アカウント設定の「契約プラン」から解約手続き。途中解約でも日割り返金は行っておりません。,プランの解約手続きは、アカウント設定からいつでも行えます。 ## 解約手順 1. **アカウント設定** を開く 2. **「契約プラン」** タブを選択 3. **「解約手続き」** をクリック 4. 確認画面で解約を確定 ## ご注意 - 契約期間の **途中で解約された場合** でも、残期間分の料金の **返金は行っておりません** - 次回更新日の前日までに手続きいただくと、次回更新が止まります > 解約後もアカウント自体は残りますので、再開はいつでも可能です。,,2026-04-22,/05_support/help-content/?article=bil005,,,
HELP-use001,ヘルプ記事,how-to-use,SPEED ADの使い方,use001,新しいアンケートを作成するには？,アンケート一覧から新規作成→基本情報入力→質問追加→保存でQRコードが発行されます。,ダッシュボードの **「アンケート一覧」** 画面から、新しいアンケートを作成できます。 ## 作成ステップ 1. アンケート一覧画面の **「アンケート新規作成」** ボタンをクリック 2. 基本情報（タイトル・会期など）を入力 3. 質問を追加し、質問タイプ（選択・記述・評価など）を設定 4. デザインをカスタマイズ（任意） 5. 保存・公開で **QRコードを発行** > 発行したQRコードは、会場ポスターや配布資料にそのまま貼り付けてご利用いただけます。,★,2026-04-22,/05_support/help-content/?article=use001,,,
HELP-use002,ヘルプ記事,how-to-use,SPEED ADの使い方,use002,回答者によって表示する質問を変えることはできますか？,プレミアムプラン以上で利用可能。回答内容に応じて次の質問を出し分けられます。,はい、**条件分岐機能**（プレミアムプラン以上）で、回答内容に応じて表示する質問を変えられます。 ## 活用例 - 「はい」と答えた人にだけ追加の質問を表示 - 業種ごとに異なる質問を表示 - 興味のあるサービスごとに深掘り質問を出し分け ## 設定方法 1. アンケート編集画面で条件分岐の対象となる質問を選択 2. **「条件分岐を設定」** から表示条件を定義 3. 条件を満たした場合の遷移先を指定 > 回答者の負担を減らし、必要な情報だけを集めることができます。,,2026-04-22,/05_support/help-content/?article=use002,,,
HELP-use003,ヘルプ記事,how-to-use,SPEED ADの使い方,use003,アンケート回答後のお礼画面（サンクス画面）のメッセージは変更できますか？,サンクス画面のメッセージ・外部リンクをカスタマイズ可能。回答後のユーザー体験を高められます。,はい、**サンクス画面（回答完了画面）** のメッセージはカスタマイズ可能です。 ## 編集できる内容 - 回答完了メッセージ - 外部サイトへの誘導リンク - ブランドイメージに合わせた文面 ## 設定方法 1. アンケート編集画面で **「サンクス画面設定」** を開く 2. メッセージを入力・編集 3. 必要に応じて外部リンク（自社サイト、資料ダウンロードなど）を設置 4. 保存 > 回答後のユーザー体験を高め、自社サイトへの誘導にもご活用いただけます。,,2026-04-22,/05_support/help-content/?article=use003,,,
HELP-use004,ヘルプ記事,how-to-use,SPEED ADの使い方,use004,アンケートの回答データをExcelなどでダウンロードできますか？,データエクスポート機能でCSV形式（UTF-8）をダウンロード可能。Excelで開けます。,はい、回答データを **CSV形式** でダウンロードできます。 ## ダウンロード手順 1. アンケート一覧から対象のアンケートを開く 2. **データエクスポート** 機能を実行 3. ダウンロードされたCSVファイルを Excel などの表計算ソフトで開く > CSVの文字コードは UTF-8 です。Excelで文字化けする場合は、Excel の「データ」→「テキストから」インポートをお試しください。,★,2026-04-22,/05_support/help-content/?article=use004,,,
HELP-use005,ヘルプ記事,how-to-use,SPEED ADの使い方,use005,回答のリアルタイム速報を見るには？,アンケート一覧からグラフ分析ページへアクセス。会期中の進捗把握や運営共有に便利です。,回答のリアルタイム速報は、**グラフ分析** ページで確認できます。 ## 確認方法 1. **アンケート一覧** から対象のアンケートを選択 2. **「グラフ分析」** ページへアクセス 3. 現在までの回答状況がグラフでリアルタイム表示されます ## 活用シーン - 展示会・セミナーの **会期中に進捗を把握** - 回答が少ない質問を特定して、呼び込みを強化 - 運営チームへ途中経過を共有 > データの書き出しは[Excelダウンロード](help-content.html?article=use004)をご確認ください。,,2026-04-22,/05_support/help-content/?article=use005,,,
HELP-tut001,ヘルプ記事,tutorial,チュートリアル,tut001,チュートリアルをもう一度見たい,サイドバー下部の「チュートリアル」メニューから、初回ログイン時のガイドを再視聴できます。,初回ログイン時のチュートリアルは、**いつでも再視聴** できます。 ## 手順 1. サイドバー下部の **「チュートリアル」** メニューを開く 2. 再度ガイドが開始されます > 新しいメンバーを招待した際や、機能の使い方を思い出したいときにご活用ください。,,2026-04-22,/05_support/help-content/?article=tut001,,,
HELP-tut002,ヘルプ記事,tutorial,チュートリアル,tut002,【動画】アンケート作成の基本,ダッシュボード起点のアンケート新規作成からQRコード発行までの基本操作を動画で解説します。,アンケートの作成からQRコード発行までの基本的な流れを動画で解説します。 ## 動画で扱う内容 - ダッシュボードからアンケート新規作成へのアクセス - テンプレート選択と質問の追加 - プレビュー確認 - **QRコードの発行** と会場への展開例 > 手順書での確認は[新しいアンケートを作成するには？](help-content.html?article=use001)をご参照ください。,,2026-04-22,/05_support/help-content/?article=tut002,,,
