ID,用語,カテゴリ,出典種別,出典ID,出典箇所,文脈での意味,備考
T-015,最終ログイン日時,データマスタ,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.1.1,ユーザーが最後にログインした日時,
T-016,キーワード,操作機能,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.1.2 検索・フィルタリング,氏名・メールアドレス・アカウントIDの部分一致検索,
T-017,有効,状態,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§4.1 契約ステータスに応じた操作制限,利用可能な正常な契約状態,
T-018,一時停止,状態,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§4.1,ユーザーアカウントの利用を一時停止した状態,
T-019,解約,状態,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§4.1,ユーザーとの契約を終了した状態,
T-020,無料,業務概念,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.1.2,契約プランの無料版,
T-021,プレミアム,業務概念,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.1.2,契約プランの有料版,
T-022,重要,状態,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.1.2,管理フラグの値（優先度が高い）,
T-023,要注意,状態,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.1.2,管理フラグの値（注意が必要）,
T-024,関係者,状態,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.1.2,管理フラグの値（関係者として注視）,
T-025,詳細フィルタ,操作機能,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.1.2,部署・役職・作成日・最終ログイン条件で追加的に絞り込みを行う機能,
T-026,アカウント作成日,データマスタ,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.1.2,アカウントが作成された日付,
T-027,検索条件,操作機能,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.1.2,複数の検索パラメータの組み合わせ,
T-028,保存済み条件,操作機能,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.1.2,保存して再利用できる検索条件セット,
T-029,リセット機能,操作機能,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.1.2,検索条件をクリアする機能,
T-030,CSVエクスポート,操作機能,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.1.3,検索条件に合致するユーザー全件をCSV形式で出力する操作,
T-031,アブロードマネージャー,ロール権限,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§7.2 権限・認可,authority=4。社内最上位ロール。アカウント発行・契約・請求・セキュリティ設定・一括出力を担当,
T-032,アブロードスタッフ,ロール権限,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§7.2,authority=3。通常管理者ロール。問い合わせ対応・状況確認・軽微な顧客情報更新・定型通知を担当,
T-033,オペレーター管理者,ロール権限,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§7.2,authority=2。AD-02対象外のロール,
T-034,オペレーター,ロール権限,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§7.2,authority=1。AD-02対象外のロール,
T-035,詳細表示,操作機能,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.2.1,一覧行から対象ユーザーを選択して詳細モーダルを開く操作,
T-036,基本情報,データマスタ,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§2.2,氏名・カナ・電話・会社名・部署・役職,
T-037,請求情報,データマスタ,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.2.2,請求書宛名・請求先メール・郵便番号・住所,
T-038,サービス設定,操作機能,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.2.2,権限ロール・利用モジュール・通知設定・MFA必須・IP制限の設定,
T-039,内部メモ,データマスタ,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.2.7,ユーザーに関する社内共有事項を記録するメモ,
T-040,変更を保存,操作機能,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.2.2,基本情報・請求情報・サービス設定・内部メモをまとめてAPI送信する操作,
T-041,アカウント一時停止,操作機能,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.2.3,契約ステータスが「有効」のユーザーを「一時停止」に変更する操作,
T-042,再開,操作機能,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.2.3,契約ステータスが「一時停止」のユーザーを「有効」に戻す操作,
T-043,確認ダイアログ,画面機能,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.2.3,操作実行前に確認を求めるダイアログ,
T-044,管理者操作ログ,データマスタ,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§7.4 ログ・監査,管理者による操作を記録するログ,
T-045,ユーザー削除,操作機能,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.2.4,解約済みユーザーのアカウントを削除する操作,
T-046,論理削除,操作機能,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.2.4,削除フラグを設定する削除方式（物理削除ではない）,
T-047,パスワードリセットメール送信,操作機能,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.2.5,パスワード再設定メールを送信する操作,
T-048,メールアドレスの管理者変更,操作機能,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.2.6,アブロードマネージャーがユーザーのメールアドレスを直接変更する操作,
T-049,変更通知メール,操作機能,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.2.6,メールアドレス変更完了後に新アドレスへ送信するメール,
T-050,直近変更サマリ,操作機能,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.2.7,最新の変更日時・操作者・操作種別・変更対象を要約表示,
T-051,追記履歴,画面機能,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.2.7,メモを時系列で蓄積・表示する方式,
T-052,新規ユーザー招待,操作機能,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.3.1,メールアドレスを入力して招待メールを送信する操作,
T-053,招待メール,業務概念,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.3.1,本登録用の有効期限付きURLを含むメール,
T-054,有効期限付きURL,業務概念,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.3.1,72時間有効な本登録用URL,
T-055,仮アカウント,業務概念,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.3.1,招待状態で作成される未登録アカウント,
T-056,招待中,状態,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.3.1,招待メール送信後でユーザー未登録の状態,
T-057,登録済み,状態,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.3.1,招待URLから本登録が完了した状態,
T-058,期限切れ,状態,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.3.1,招待URLの有効期限が過ぎた状態,
T-059,取消済み,状態,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.3.1,管理者が招待をキャンセルした状態,
T-060,正規アカウント,業務概念,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.3.1,招待が完了した本登録済みのアカウント,
T-061,ワンタイム性,業務概念,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.3.1,招待URLを1回限りの使用に限定する性質,
T-062,招待管理,操作機能,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.3.2,招待中・期限切れ・取消済みの未登録招待を管理する機能,
T-063,招待先メールアドレス,データマスタ,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.3.2,招待する対象のメールアドレス,
T-064,招待日時,データマスタ,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.3.2,招待メール送信日時,
T-065,招待メール再送,操作機能,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.3.2,未登録招待に対して招待メールを再度送信する操作,
T-066,招待キャンセル,操作機能,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.3.2,招待を取消済みに変更する操作,
T-067,契約ステータス管理,操作機能,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.4.1,ユーザーの契約ステータスを変更する機能,
T-068,プラン管理,操作機能,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.4.2,利用可能な契約プランを管理する機能,
T-069,変更理由,操作機能,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.4.2,プラン変更時に管理者が入力する理由,
T-070,個人データエクスポート,操作機能,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.5.1,特定ユーザーに紐付く開示対象の個人データを一括でエクスポート,
T-071,JSON形式,操作機能,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.5.1,個人データの出力形式の一つ,
T-072,管理者→ユーザーへのメール送信,操作機能,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.6.1,ユーザー詳細モーダルから対象ユーザーに直接メールを送信する操作,
T-073,自由入力メール送信,操作機能,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.6.1,件名・本文を自由入力するメール送信（社内最上位ロールのみ）,
T-074,定型通知,操作機能,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.6.1,本文が固定されたシステム通知メール,
T-075,メール送信履歴,データマスタ,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.6.2,管理者が送信したメールの履歴,
T-076,ログイン履歴,データマスタ,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.7.1,ユーザーのログイン日時・IPアドレス・デバイス・ブラウザ・結果の履歴,
T-077,ログイン日時,データマスタ,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.7.1,ユーザーがログインした日時,
T-078,IPアドレス,データマスタ,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.7.1,ユーザーがログインしたIPアドレス,
T-079,デバイス種別,データマスタ,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.7.1,デスクトップまたはモバイル,
T-080,ブラウザ,データマスタ,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.7.1,ユーザーがアクセスに使用したブラウザ,
T-081,ログイン結果,データマスタ,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.7.1,ログイン成功/失敗の結果,
T-082,操作日時,データマスタ,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.7.2,管理者が操作を行った日時,
T-083,操作種別,データマスタ,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.7.2,ステータス変更・プラン変更・削除などの操作の種類,
T-084,操作者,データマスタ,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.7.2,操作を実行した管理者,
T-085,変更前の値,データマスタ,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.7.2,変更前のデータ値,
T-086,変更後の値,データマスタ,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.7.2,変更後のデータ値,
T-087,請求状態サマリ,操作機能,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.8.1,当該ユーザーの請求ステータス・未入金有無・直近請求日・金額を表示,
T-088,最新請求ステータス,データマスタ,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.8.1,ユーザーの現在の請求状態,
T-089,未入金有無,データマスタ,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.8.1,未払い請求の有無,
T-090,直近請求日,データマスタ,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.8.1,最新の請求日,
T-091,直近請求金額,データマスタ,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.8.1,最新の請求金額,
T-092,AD-04請求管理画面,業務概念,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.8.1,ユーザー詳細からリンク先となる請求管理画面,
T-093,紐付きアンケート参照,操作機能,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.9,ユーザーが所有するアンケートの一覧を確認する操作,
T-094,アンケート名,データマスタ,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.9.1,アンケートの名称,
T-095,ステータス（アンケート）,状態,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.9.1,アンケートの状態（実施中・準備中・草稿・終了）,
T-096,会期,データマスタ,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.9.1,アンケートの開催期間,
T-097,データ化プラン,データマスタ,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.9.1,アンケート回答データ化の契約内容,
T-098,名刺処理進捗,データマスタ,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.9.1,名刺データ処理の進捗状況,
T-099,請求予定金額,データマスタ,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.9.1,アンケート実施による見込み請求金額,
T-100,ステータスサマリ,操作機能,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.9.1,実施中・準備中・草稿・終了の件数を一覧上部に表示,
T-101,AD-03アンケート管理,業務概念,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.9.2,ユーザー詳細からリンク先となるアンケート管理画面,
T-102,AD-12アンケート詳細,業務概念,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.9.2,ユーザー詳細からリンク先となるアンケート詳細画面,
T-103,削除状態,状態,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§4.3 削除状態に応じた操作制限,未削除または論理削除済み,
T-104,未削除,状態,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§4.3,ユーザーが削除されていない正常な状態,
T-105,論理削除済み,状態,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§4.3,ユーザーが論理削除フラグで削除された状態,
T-106,削除フラグ,データマスタ,ローカル仕様書,AD-02 (27_admin_user_management_requirements.md),§3.2.4,deleted_atフィールド,
T-107,新規ユーザー招待,操作機能,モックアップ,user-management.html,検索フォーム（ボタン）,メールアドレスを入力して招待メールを送信する操作,仕様書と同一表記
T-108,利用者一覧,画面機能,モックアップ,user-management.html,テーブル領域,アカウント情報を一覧表示するテーブル,
T-109,CSVエクスポート,操作機能,モックアップ,user-management.html,テーブル領域（ボタン）,現在の検索条件に合致するユーザーをCSV形式で出力する,仕様書と同一表記
T-110,新規アカウント作成,操作機能,モックアップ,user-management.html,テーブル領域（ボタン）,新しいアカウントを作成する操作,「新規ユーザー招待」とワードチョイス違い
T-111,停止フラグ,データマスタ,モックアップ,user-management.html,テーブルカラム,一時停止状態を示すフラグ,
T-112,Pro,業務概念,モックアップ,user-management.html,テーブルカラム「契約プラン」,有料プラン,仕様書「プレミアム」とワードチョイス違い
T-113,Enterprise,業務概念,モックアップ,user-management.html,テーブルカラム「契約プラン」,エンタープライズプラン,
T-114,詳細,操作機能,モックアップ,user-management.html,テーブル操作列,ユーザー詳細を表示する操作,
T-115,停止,操作機能,モックアップ,user-management.html,テーブル操作列,ユーザーアカウントを停止する操作,「一時停止」とワードチョイス違い
T-116,再開,操作機能,モックアップ,user-management.html,テーブル操作列,停止状態から再開する操作,
T-117,保存,操作機能,モックアップ,user-management.html,ユーザー詳細セクション（ボタン）,変更内容を保存する操作,「変更を保存」とワードチョイス違い
T-118,アカウント停止,操作機能,モックアップ,user-management.html,ユーザー詳細セクション（ボタン）,アカウントを停止する操作,「アカウント一時停止」とワードチョイス違い
T-119,初期化メール再送,操作機能,モックアップ,user-management.html,ユーザー詳細セクション（ボタン）,パスワードリセットメールを再送する操作,
T-120,プラン／オプション変更,操作機能,モックアップ,user-management.html,ユーザー詳細セクション（ボタン）,契約プランまたはオプションを変更する操作,
T-121,管理フラグ更新,操作機能,モックアップ,user-management.html,ユーザー詳細セクション（ボタン）,管理フラグを更新する操作,
T-122,連絡先・請求情報を表示,操作機能,モックアップ,user-management.html,詳細情報セクション（折りたたみ）,電話・郵便番号・住所・請求書宛名・請求先メール・請求グループを表示,
T-123,請求グループ,データマスタ,モックアップ,user-management.html,連絡先・請求情報セクション,複数ユーザーをグループ化した請求単位,
T-124,サービス設定を表示,操作機能,モックアップ,user-management.html,詳細情報セクション（折りたたみ）,権限ロール・利用モジュール・通知設定・ログイン制御を表示,
T-125,利用モジュール,データマスタ,モックアップ,user-management.html,サービス設定セクション,ユーザーが使用できるシステムのモジュール,
T-126,権限ロール,データマスタ,モックアップ,user-management.html,サービス設定セクション,ユーザーの権限レベル,
T-127,通知設定,データマスタ,モックアップ,user-management.html,サービス設定セクション,メール・Slackなど通知の設定,
T-128,ログイン制御,データマスタ,モックアップ,user-management.html,サービス設定セクション,MFA必須・IP制限などのセキュリティ設定,
T-129,MFA必須,業務概念,モックアップ,user-management.html,サービス設定セクション,多要素認証を必須にする設定,
T-130,IP制限,業務概念,モックアップ,user-management.html,サービス設定セクション,特定IPアドレスからのみアクセスを許可する設定,
T-131,社内VPN,業務概念,モックアップ,user-management.html,サービス設定セクション,会社内のVPN環境,
T-132,種別フィルタ,操作機能,モックアップ,user-management.html,変更履歴セクション（ボタン）,操作種別で変更履歴を絞り込む機能,
T-133,すべての履歴を見る,操作機能,モックアップ,user-management.html,変更履歴セクション（ボタン）,より多くの変更履歴を表示する操作,
T-134,運用管理者,ロール権限,モックアップ,user-management.html,ユーザー詳細セクション,ユーザー権限の一つ,
T-135,一般ユーザー,ロール権限,モックアップ,user-detail.html,サービス設定セクション,権限ロールの選択肢,
T-136,閲覧のみ,ロール権限,モックアップ,user-detail.html,サービス設定セクション,権限ロールの選択肢（閲覧権限のみ）,
T-137,アンケート作成,データマスタ,モックアップ,user-detail.html,利用モジュール,利用可能なモジュール,
T-138,データ入力管理,データマスタ,モックアップ,user-detail.html,利用モジュール,利用可能なモジュール,
T-139,ダッシュボード,データマスタ,モックアップ,user-detail.html,利用モジュール,利用可能なモジュール,
T-140,請求管理,データマスタ,モックアップ,user-detail.html,利用モジュール,利用可能なモジュール,
T-141,メール通知,業務概念,モックアップ,user-detail.html,通知設定,メールで通知を送信する設定,
T-142,Slack,業務概念,モックアップ,user-detail.html,通知設定,Slack連携による通知設定,
T-143,Webhook,業務概念,モックアップ,user-detail.html,通知設定,Webhook経由の通知設定,
T-144,パスワード初期化リンクを送信,操作機能,モックアップ,user-detail.html,基本情報セクション（ボタン）,パスワードリセットメールを送信する操作,
T-145,アカウント権限を変更,操作機能,モックアップ,user-detail.html,基本情報セクション（ボタン）,ユーザーのアカウント権限を変更する操作,
T-146,請求・連絡先情報,操作機能,モックアップ,user-detail.html,詳細設定セクション,請求書宛名・請求先メール・郵便番号・住所の設定,
T-147,電話番号,データマスタ,モックアップ,user-detail.html,請求・連絡先情報,ユーザーの電話番号,
T-148,郵便番号,データマスタ,モックアップ,user-detail.html,請求・連絡先情報,ユーザーの郵便番号,
T-149,住所,データマスタ,モックアップ,user-detail.html,請求・連絡先情報,ユーザーの住所,
T-150,請求書宛名,データマスタ,モックアップ,user-detail.html,請求・連絡先情報,請求書送付先の企業名・敬称,
T-151,請求先メール,データマスタ,モックアップ,user-detail.html,請求・連絡先情報,請求書受取先のメールアドレス,
T-152,所有アンケート,操作機能,モックアップ,user-detail.html,アンケート一覧セクション,ユーザーが作成・管理するアンケートの一覧,
T-153,公開中,状態,モックアップ,user-detail.html,所有アンケートテーブル,アンケートが公開されている状態,
T-154,準備中,状態,モックアップ,user-detail.html,所有アンケートテーブル,アンケートが準備中の状態,
T-155,草稿,状態,モックアップ,user-detail.html,所有アンケートテーブル,アンケートが草稿状態,
T-156,終了,状態,モックアップ,user-detail.html,所有アンケートテーブル,アンケートが終了した状態,
T-157,未処理タスク,データマスタ,モックアップ,user-detail.html,所有アンケートテーブル,実施中のアンケートで残されているタスク,
T-158,入力,操作機能,モックアップ,user-detail.html,所有アンケートテーブル「未処理タスク」,回答データの入力作業,
T-159,照合,操作機能,モックアップ,user-detail.html,所有アンケートテーブル「未処理タスク」,入力データの照合作業,
T-160,新規アンケート,操作機能,モックアップ,user-detail.html,所有アンケートセクション（ボタン）,新しいアンケートを作成する操作,
T-161,操作履歴,画面機能,モックアップ,user-detail.html,詳細設定セクション（折りたたみ）,ユーザーに対する管理者の操作履歴,
T-162,一覧に戻る,操作機能,モックアップ,user-detail.html,ヘッダー（ボタン）,ユーザー一覧画面に戻る操作,
T-163,ユーザー ID,データマスタ,モックアップ,user-detail.html,ページヘッダー,ユーザーを一意に識別するID,「アカウントID」とワードチョイス違い
T-164,Pro (年間),業務概念,モックアップ,user-detail.html,ステータスセクション,年間契約のProプラン,
T-165,名刺自動化,業務概念,モックアップ,user-detail.html,ステータスセクション,名刺処理を自動化するオプション,
T-166,OCR強化,業務概念,モックアップ,user-detail.html,ステータスセクション,光学文字認識を強化するオプション,
T-167,フラグを更新,操作機能,モックアップ,user-detail.html,管理フラグセクション（ボタン）,管理フラグの値を変更する操作,
T-168,アンケート一覧を開く,操作機能,モックアップ,user-detail.html,関連アンケートセクション（ボタン）,ユーザーが所有するアンケート一覧を表示する操作,
T-169,タスクを見る,操作機能,モックアップ,user-detail.html,所有アンケートテーブル（ボタン）,当該アンケートの未処理タスク一覧を表示,
T-170,照合へ,操作機能,モックアップ,user-detail.html,所有アンケートテーブル（ボタン）,照合作業画面に遷移する操作,
T-171,オペレーター管理,画面機能,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§2.1,オペレーターアカウント検索・絞り込み・一覧閲覧の起点画面,
T-172,オペレーター詳細モーダル,画面機能,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§2.2,特定オペレーターの基本情報・所属・権限・言語・パスワード管理・履歴を確認するモーダル,
T-173,グループ管理モーダル,画面機能,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§2.3,オペレーター所属グループ（会社単位）の作成・編集・削除、メンバー管理を行うモーダル,
T-174,Lv1 オペレーター,ロール権限,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.1.2,authority=1。AD-09アクセス不可の最下位ロール,
T-175,Lv2 オペレーター管理者,ロール権限,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.1.2,authority=2。自グループ内のオペレーターのみアクセス可能,テナント分離対象
T-176,Lv3 アブロードスタッフ,ロール権限,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.1.2,authority=3。全グループ横断アクセス可だが発行・権限変更・パスワード直接設定は不可,
T-177,Lv4 アブロードマネージャー,ロール権限,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.1.2,authority=4。最高権限でフルアクセス、全グループ横断,最少1名在籍必須
T-178,有効,状態,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.1.1,オペレーター稼働中の状態,
T-179,無効,状態,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.1.1,オペレーター非稼働状態（退職・休暇・契約終了等）,
T-180,招待中,状態,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.1.1,仮アカウント状態。招待URL有効期限内,
T-181,オペレーター ID,データマスタ,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.1.1,オペレーターを識別するID,
T-182,権限,データマスタ,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.1.1,Lv1〜Lv4の権限レベル,
T-183,所属グループ,データマスタ,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.1.1,オペレーターが属する企業/法人単位のグループ,
T-184,対応可能言語,データマスタ,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.1.2,オペレーターが対応可能な言語マスタ,
T-185,パスワード初期化メール,操作機能,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.2.5,オペレーターメール宛に再設定用URLを含むメール送信,Lv4/Lv3/Lv2(自グループLv1のみ)実行可
T-186,パスワード直接設定,操作機能,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.2.6,管理者が新パスワードを直接入力して即時確定する操作,Lv4限定。本人通知メール送信必須
T-187,有効化,操作機能,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.2.3,無効のオペレーターを有効に変更する操作,
T-188,無効化,操作機能,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.2.3,有効のオペレーターを無効に変更する操作,セッション失効
T-189,オペレーター削除,操作機能,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.2.4,無効化済みオペレーターを論理削除する操作,Lv4限定。取消不可、二重確認必須
T-190,権限変更,操作機能,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.2.2,オペレーターの権限レベルを変更する操作,Lv4限定
T-191,所属グループ変更,操作機能,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.2.2,オペレーターの所属グループを別グループへ移動,Lv4限定。過去ログのgroup_idは変わらない
T-192,新規オペレーター招待,業務概念,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.3.1,メール・氏名・所属・権限を入力して招待メール送信,Lv4限定
T-193,72時間有効,業務概念,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.3.1,招待URLの有効期限,期限超過で「期限切れ」遷移
T-194,招待状態,業務概念,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§4.1,招待中/登録済み/期限切れ/取消済みの招待フロー状態,
T-195,招待再送,操作機能,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.3.2,既存招待の新トークン・有効期限を再発行,Lv4/Lv3実行可。旧トークン失効
T-196,一括選択,操作機能,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.4.1,チェックボックスで複数オペレーターを選択,全選択/全解除提供
T-197,一括権限変更,操作機能,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.4.2,複数オペレーターに新権限を一括適用,Lv4限定
T-198,一括所属変更,操作機能,ローカル仕様書,AD-09 (28_admin_operator_management_requirements.md),§3.4.3,複数オペレーターを別グループに一括移動,Lv4限定
