"概念ID","カテゴリ","概念名","統一表記（正）","統一前の表記ゆれ（廃止）","出現範囲","文脈での意味","補足・注意"
"F-09","データ項目","対応言語","日本語 / 英語 / 中国語（簡体字） / 中国語（繁体字） / ベトナム語","韓国語 / 中文（简体） / Tiếng Việt","ユーザー側","アンケートを多言語表示する際の対応言語","対応言語マスタ（ja/en/zh-CN/zh-TW/vi の5言語）を正とする。bizcardSettings仕様の「韓国語」はマスタ外のため要確認。thankYouScreenの「ベトナム語未整備」は実装課題"
"F-10","業務概念","サンクス画面","サンクス画面","回答完了画面","ユーザー側","回答送信直後に回答者へ表示する画面","設定機能・回答者向け画面とも「サンクス画面」に統一（設定値「サンクスメッセージ」と整合）。仕様書ファイル名の screen/completion 不一致も解消対象。お礼メール（J-01）とは別オブジェクト"
"G-01","業務概念","名刺データ化","名刺データ化","名刺処理 / 名刺データ / データ化 / 名刺画像添付","両方","回収した名刺をデータ化するサービス機能","サービス中核概念。機能名・カラム名（名刺進捗/名刺処理完了/名刺処理状態）を「名刺データ化」基準に統一"
"G-02","業務概念","データ化プラン","データ化プラン","-","両方","名刺データ化の納期・単価別プラン","契約プラン（D-01/D-02）とは別概念。どちらも「プラン」と呼ばれるため文脈を明示する"
"G-03","データ項目","データ化名刺の見込み枚数","見込み枚数","見込み件数 / 想定件数","ユーザー側","データ化を依頼する名刺の想定枚数","単位は「枚」に統一（「件」表記を廃止）"
"G-04","状態","名刺データ化の進捗","データ化中","データ化進行中 / 名刺処理進捗","両方","名刺データ化処理の進捗状態","UI表示の和文を「データ化中／データ化完了」に統一。内部値の英語(processing/completed)は別管理"
"H-01","操作機能","入力作業","入力","-","admin側","名刺回答データを入力する作業","「データ入力」も可。作業名としては「入力」に統一"
"H-02","操作機能","照合作業","照合","-","admin側","入力データを照合する作業","既に統一済。維持する"
"H-03","画面機能","照合管理画面","照合管理","照合一覧","admin側","管理者が照合タスクを管理する画面","「〜管理」命名規約に合わせ「照合管理」に統一。reconciliation/index と reconciliation/list の2画面・2名称併存は画面構成側で要整理"
"H-04","データ項目","入力値と照合値の相違","差異","差分","admin側","入力データと照合データの食い違い","同一フロー内（reconciliation/detailとlist）の混在を「差異」に統一"
"H-05","状態","照合結果ステータス","一致 / 不一致","一致済み / 差異あり","admin側","照合の判定結果","KPIラベルと検索値の揺れを「一致／不一致」に統一。H-04の語彙と整合"
"H-06","業務概念","エスカレーション","エスカレーション","エスカレ / 要エスカレ","admin側","現場で判断できない案件を管理者へ引き上げること","略記「エスカレ」を禁止し「エスカレーション」に統一"
"H-07","データ項目","名刺の件数","名刺枚数","総名刺数 / 総件数","admin側","処理対象の名刺の数","件数の語を「名刺枚数」、合計は「総名刺枚数」に統一。単位は「枚」（G-03と整合）"
"H-08","データ項目","フリガナ","フリガナ","カナ","admin側","氏名のふりがな項目","「フリガナ」に統一。glossary T-036基本情報の「カナ」を修正"
"I-01","ロール権限","オペレーター","オペレーター","-","admin側","名刺データ化業務に従事する社内/社外アカウントの総称","統一済。維持する"
"I-02","データ項目","グループ（同音異義の整理）","グループ（運用組織）/ 担当部署 / グループ（共同編集）","担当グループ","両方","「グループ」が3つの別概念に同語で使われている","アンケート担当部署を指す「担当グループ」は「担当部署」へリネーム（値が営業部・BPO部等のため）。オペレーター所属組織と利用者の共同編集グループは別ドメインのため各文脈で「グループ」のまま可"
"I-03","操作機能","アカウントの利用停止","アカウント一時停止","一時停止 / 停止 / アカウント停止 / 停止フラグ","admin側","利用者アカウントの利用を止める操作","操作名=アカウント一時停止、状態=一時停止。オペレーター側の相当操作は「無効化」、状態は「無効」で別概念（状態モデルが有効/無効/招待中と異なる）。両者を安易に統合しない"
"I-04","操作機能","停止状態からの復帰","再開（利用者）/ 有効化（オペレーター）","再有効化","admin側","停止・無効状態のアカウントを使える状態に戻す操作","利用者アカウントの復帰=再開、オペレーターの復帰=有効化。「再有効化」は「有効化」に統一"
"J-01","業務概念","お礼メール","お礼メール","ThankYouメール / サンクスメール","両方","回答者へ会期後に送るお礼のメール","admin側survey-detailの同一画面内2表記を「お礼メール」に統一。サンクス画面（F-10）とは別オブジェクト"
"J-02","操作機能","メール送信","メール送信","メール送付","admin側","管理者がメールを送る操作","「送付」を「送信」に統一"
"J-03","データ項目","通知設定（同音異義の整理）","通知設定（利用者）/ エスカレーション通知設定（admin）","通知設定（無修飾の流用）","admin側","「通知設定」が別概念に同語で使われている","利用者のサービス設定内は「通知設定」、エスカレーション画面のものは「エスカレーション通知設定」と修飾語を必須化"
"K-01","操作機能","保存","保存","保存する / 変更を保存 / 更新を保存 / 設定を保存する / 設定を保存して依頼を確定 / アンケート保存 / メモを保存","両方","入力内容を確定・永続化する操作","確定アクションの基本語を「保存」に統一。対象を明示したい場合のみ「○○を保存」とし、その様式も別途定める"
"K-02","操作機能","データのファイル出力","CSV出力 / Excel出力","CSVエクスポート / 一覧CSV出力 / CSVダウンロード / カレンダーCSV出力 / データダウンロード / Excelレポート / Excel一括出力","両方","一覧やデータを外部ファイルへ出力する操作","動詞は「出力」に統一し形式名を冠する（CSV出力／Excel出力）。「エクスポート」「ダウンロード」「レポート」は出力操作名としては使わない。旧T-030「CSVエクスポート」・T-280「CSV出力」も「CSV出力」へ統一"
"K-03","操作機能","一覧の絞り込み","絞り込み","フィルター / フィルタ / 絞り込み条件 / 検索条件 / 詳細フィルタ","両方","一覧を条件で絞る操作","「絞り込み」に統一。カナ長音ゆれ（フィルター/フィルタ）も解消"
"K-04","操作機能","条件のリセット","条件をリセット","リセット / クリア / フィルターをリセット","両方","設定した絞り込み条件をクリアする操作","「条件をリセット」に統一。K-03の語彙と整合"
"K-05","画面機能","モーダル","モーダル","ダイアログ / 確認ダイアログ","両方","画面上に重ねて表示する小窓","「モーダル」に統一。確認用は「確認モーダル」。group-edit仕様の「確認ダイアログ」を修正"
"K-06","画面機能","サマリー","サマリー","サマリ","両方","集計・要約表示","カナ長音は「サマリー」に統一（長音を残す現行慣用に準拠）"
"K-07","操作機能","未保存離脱の確認","離脱確認モーダル","未保存離脱確認 / 離脱防止 / 離脱警告 / ナビゲーションガード / 遷移ガード","ユーザー側","未保存の変更がある状態での画面離脱を確認する機能","6表記を「離脱確認モーダル」に統一"
"K-08","画面機能","操作履歴・ログのセクション名","操作ログ / 更新ログ / ログイン履歴","監査ログ / 管理者操作ログ / 情報更新ログ / ステータス遷移ログ / 変更履歴","両方","管理者操作・状態変更などの履歴を表示する領域","用途別に3語へ統一。操作ログ＝特定対象への管理者操作履歴、更新ログ＝画面全体の操作を時系列表示するサイドバー、ログイン履歴＝ログイン記録。「監査ログ」「管理者操作ログ」「変更履歴」「ステータス遷移ログ」→操作ログ、「情報更新ログ」→更新ログ"
"K-09","データ項目","操作主体の呼称","操作者","担当 / ユーザー(列名)","admin側","操作を実行した人を指す項目名","操作実行者は「操作者」に統一。業務上の担当者を指す「担当者」は別概念として残す（K-12参照）"
"K-10","操作機能","ステータス変更操作","ステータス変更","ステータス更新 / 状態更新","admin側","状態を変更する操作","「ステータス変更」に統一。一括操作は接頭辞「一括」を付け「一括ステータス変更」"
"K-11","操作機能","詳細表示","詳細","詳細表示","両方","対象の詳細を表示する操作","「詳細」に統一"
"K-12","操作機能","担当の割当","割当 / 再割当","アサイン / アサイン済 / アサイン未","admin側","案件・タスクに担当者を割り当てる操作","日英混在を解消し「割当／再割当」に統一。カレンダーの「アサイン」を修正"
"L-01","データ項目","期限の呼称","納品期限 / 対応期限 / ダウンロード期限 / 請求締切","SLA期限 / 納品期日 / 納品予定 / DL期限 / 納期","admin側","各種の締切・期限","期限種別ごとに正規語を定義。納品期日・納品予定・納期→納品期限、DL期限→ダウンロード期限。「SLA」は社内管理概念として残すが画面表記には用いない"
"L-02","データ項目","記述系フィールド","内部メモ / 理由","メモ / 備考","両方","補足・社内共有事項を記録する自由記述項目","用途別に統一。内部メモ＝社内共有の自由記述（蓄積型）、理由＝操作時に入力する操作理由。「メモ」「備考」→内部メモ"
"L-03","状態","「有効」（同音異義の整理）","有効","-","両方","「有効」が契約ステータス・オペレーター状態・クーポン状態の3文脈で使われている","同音異義のため統合はしない。用語集・画面では必ずカテゴリと文脈を併記する（例: 契約ステータス＝有効）"
