ID,名刺画像ファイル名（表）,名刺画像ファイル名（裏）,回答日時,テスト回答,"Q.01_社員CD（8桁）","Q.02_お客様の主な業界","Q.03_打ち合わせ種類（複数選択可）","Q.04_【打合せ内容】フリー入力（エラー時にこの画面をスクリーンショットしてください。）","Q.05_【打合せ内容】イメージ図・ポンチ絵","Q.06_【打合せ内容】緊急度（複数選択可）","Q.07_【打合せ内容】後日フォローする担当者・連絡済みの担当者など（説明員として担当した方の名前ではありません。）","Q.08_【案件情報】案件名（ライン名・装置名など）","Q.09_【案件情報】必要時期(見込時期)","Q.10_【案件情報】案件種別","Q.11_【案件情報】開発要望（THKに対する新製品の開発要望があればチェックを入れてください。）",
"6834","0008000175_00023_1.jpg","","2025-07-04 14:17","通常回答","1109142",一般産業機械,THK免震/THK免震 （体験デモ機）,"","0008000175_00023_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6835","0008000175_00024_1.jpg","","2025-07-04 15:01","通常回答","11092210",その他,THK免震,"THK機器免震の紹介。","0008000175_00024_staff_data_5.jpg",カタログ希望、情報収集,"","",,,,
"6836","0008000175_00025_1.jpg","","2025-07-04 15:03","通常回答","11092210",その他,THK免震,"デザイン屋さん。
THK機器免震に関心あり。","0008000175_00025_staff_data_5.jpg",カタログ希望、情報収集,"","",それ以降,今回限り,,
"6838","0008000175_00026_1.jpg","","2025-07-04 15:33","通常回答","11009142",学校/官公庁/研究機関,機械要素部品,"SRS1.2本程度検討中","0008000175_00026_staff_data_5.jpg",カタログ希望、情報収集,"","",6ヶ月以内,開発（試作）,,
"6852","0008000175_00027_1.jpg","","2025-07-05 10:25","通常回答","11092181",一般産業機械,機械要素部品,"ミスミ使用","0008000175_00027_staff_data_5.jpg",営業打合せ希望(THK要望),"池端","",,,,
"6853","0008000175_00028_1.jpg","","2025-07-05 10:27","通常回答","11092181",一般産業機械,機械要素部品,"","0008000175_00028_staff_data_5.jpg",営業打合せ希望(THK要望),"","",,,,
"6854","0008000175_00029_1.jpg","","2025-07-05 10:28","通常回答","11092181",FAロボット製造業,該当なし,"","0008000175_00029_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6855","0008000175_00030_1.jpg","","2025-07-05 10:29","通常回答","11092181",FAロボット製造業,該当なし,"","0008000175_00030_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6856","0008000175_00031_1.jpg","","2025-07-05 10:30","通常回答","11092181",商社,該当なし,"","0008000175_00031_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6857","0008000175_00032_1.jpg","","2025-07-05 10:32","通常回答","11092181",商社,該当なし,"","0008000175_00032_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6858","0008000175_00033_1.jpg","","2025-07-05 10:33","通常回答","11092181",商社,該当なし,"","0008000175_00033_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6859","0008000175_00034_1.jpg","","2025-07-05 10:52","通常回答","11006110",工作機械,機械要素部品,"","0008000175_00034_staff_data_5.jpg",営業打合せ希望(客先要望),"","",,,,
"6860","0008000175_00035_1.jpg","","2025-07-05 11:21","通常回答","11092181",一般産業機械,機械要素部品,"SBC使用あり
ロボットハンド興味あり
訪問OK","0008000175_00035_staff_data_5.jpg",営業打合せ希望(THK要望),"","",,,,
"6862","0008000175_00036_1.jpg","","2025-07-05 11:28","通常回答","11092121",一般産業機械,機械要素部品,"GK.ユニット興味あり
訪問了承済み","0008000175_00036_staff_data_5.jpg",営業打合せ希望(THK要望),"寺下","",,,,
"6863","0008000175_00037_1.jpg","","2025-07-05 11:30","通常回答","11092181",一般産業機械,機械要素部品,"訪問了承済み","0008000175_00037_staff_data_5.jpg",営業打合せ希望(THK要望),"寺下","",,,,
"6864","0008000175_00038_1.jpg","","2025-07-05 11:31","通常回答","11092181",一般産業機械,機械要素部品,"メンテナンスについて
ボールねじ納期","0008000175_00038_staff_data_5.jpg",営業打合せ希望(客先要望),"池端","",,,,
"6865","0008000175_00039_1.jpg","","2025-07-05 11:44","通常回答","11092181",一般産業機械,機械要素部品,"LMガイドボールねじ使用
メンテ","0008000175_00039_staff_data_5.jpg",営業打合せ希望(THK要望),"池端","",,,,
"6866","0008000175_00040_1.jpg","","2025-07-05 11:58","通常回答","11092181",電気/電子部品,機械要素部品,"OMNIedge訪問OK
その他客先の了解が取れればAMRにつきPR","0008000175_00040_staff_data_5.jpg",営業打合せ希望(THK要望),"","",,,,
"6867","0008000175_00041_1.jpg","","2025-07-05 13:04","通常回答","11023521",その他,カーリングデモ機 体験,"","0008000175_00041_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6868","0008000175_00042_1.jpg","","2025-07-05 13:05","通常回答","11023521",商社,カーリングデモ機 体験,"","0008000175_00042_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6869","0008000175_00043_1.jpg","","2025-07-05 13:06","通常回答","11023521",一般産業機械,カーリングデモ機 体験,"LMガイド納期情報共有","0008000175_00043_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6870","0008000175_00044_1.jpg","","2025-07-05 13:07","通常回答","11023521",工作機械,カーリングデモ機 体験,"","0008000175_00044_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6871","","","2025-07-05 13:09","通常回答","11093157",その他,機械要素部品,"物の搬送。2m. LMガイド必要ない、スライドパック　弱い。中間ほしい。","0008000175_00045_staff_data_5.jpg",説明員判断でﾌｫﾛｰが必要(ISSﾌｫﾛｰ),"","",3ヶ月以内,今回限り,,
"6872","0008000175_00046_1.jpg","0008000175_00046_2.jpg","2025-07-05 13:11","通常回答","11093157",その他,機械要素部品,"","0008000175_00046_staff_data_5.jpg",説明員判断でﾌｫﾛｰが必要(ISSﾌｫﾛｰ),"","",,,,
"6873","0008000175_00047_1.jpg","","2025-07-05 13:12","通常回答","11023521",商社,GK品,"山善様で在庫対応していることを説明","0008000175_00047_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6874","0008000175_00048_1.jpg","0008000175_00048_2.jpg","2025-07-05 13:13","通常回答","11093157",その他,該当なし,"","0008000175_00048_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6875","0008000175_00049_1.jpg","0008000175_00049_2.jpg","2025-07-05 13:14","通常回答","11093157",その他,該当なし,"","0008000175_00049_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6876","0008000175_00050_1.jpg","0008000175_00050_2.jpg","2025-07-05 13:15","通常回答","11093157",その他,該当なし,"","0008000175_00050_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6877","0008000175_00051_1.jpg","","2025-07-05 13:15","通常回答","23521",一般産業機械,カーリングデモ機 体験,"","0008000175_00051_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6878","0008000175_00052_1.jpg","","2025-07-05 13:16","通常回答","11092181",商社,カーリングデモ機 体験,"","0008000175_00052_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6879","0008000175_00053_1.jpg","","2025-07-05 13:16","通常回答","23521",商社,カーリングデモ機 体験,"","0008000175_00053_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6880","0008000175_00054_1.jpg","0008000175_00054_2.jpg","2025-07-05 13:17","通常回答","11093157",その他,該当なし,"","0008000175_00054_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6881","0008000175_00055_1.jpg","","2025-07-05 13:17","通常回答","11092181",商社,カーリングデモ機 体験,"","0008000175_00055_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6882","0008000175_00056_1.jpg","","2025-07-05 13:17","通常回答","11023521",商社,カーリングデモ機 体験,"","0008000175_00056_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6883","0008000175_00057_1.jpg","","2025-07-05 13:18","通常回答","11092181",商社,カーリングデモ機 体験,"","0008000175_00057_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6884","0008000175_00058_1.jpg","0008000175_00058_2.jpg","2025-07-05 13:18","通常回答","11093157",その他,該当なし,"","0008000175_00058_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6885","0008000175_00059_1.jpg","","2025-07-05 13:18","通常回答","11023521",一般産業機械,カーリングデモ機 体験,"","0008000175_00059_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6886","0008000175_00060_1.jpg","","2025-07-05 13:18","通常回答","11092181",商社,カーリングデモ機 体験,"","0008000175_00060_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6887","0008000175_00061_1.jpg","","2025-07-05 13:19","通常回答","11023521",工作機械,機械要素部品/カーリングデモ機 体験,"","0008000175_00061_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6888","0008000175_00062_1.jpg","0008000175_00062_2.jpg","2025-07-05 13:19","通常回答","11093157",その他,該当なし,"","0008000175_00062_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6889","0008000175_00063_1.jpg","","2025-07-05 13:19","通常回答","11023521",工作機械,カーリングデモ機 体験,"","0008000175_00063_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6890","0008000175_00064_1.jpg","","2025-07-05 13:19","通常回答","11092181",商社,カーリングデモ機 体験,"","0008000175_00064_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6891","0008000175_00065_1.jpg","0008000175_00065_2.jpg","2025-07-05 13:19","通常回答","11093157",その他,該当なし,"","0008000175_00065_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6892","0008000175_00066_1.jpg","","2025-07-05 13:20","通常回答","11023521",食品/薬品/化粧品,カーリングデモ機 体験,"","0008000175_00066_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6893","0008000175_00067_1.jpg","","2025-07-05 13:20","通常回答","11092181",商社,カーリングデモ機 体験,"","0008000175_00067_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6894","0008000175_00068_1.jpg","0008000175_00068_2.jpg","2025-07-05 13:20","通常回答","11093157",その他,該当なし,"","0008000175_00068_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6895","0008000175_00069_1.jpg","","2025-07-05 13:21","通常回答","11023521",商社,カーリングデモ機 体験,"","0008000175_00069_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6896","0008000175_00070_1.jpg","","2025-07-05 13:21","通常回答","11092181",商社,カーリングデモ機 体験,"","0008000175_00070_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6897","0008000175_00071_1.jpg","","2025-07-05 13:21","通常回答","11023521",一般産業機械,カーリングデモ機 体験,"","0008000175_00071_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6898","0008000175_00072_1.jpg","0008000175_00072_2.jpg","2025-07-05 13:21","通常回答","11093157",その他,該当なし,"","0008000175_00072_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6899","0008000175_00073_1.jpg","","2025-07-05 13:22","通常回答","11023521",一般産業機械,カーリングデモ機 体験,"","0008000175_00073_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6900","0008000175_00074_1.jpg","","2025-07-05 13:22","通常回答","11092181",商社,カーリングデモ機 体験,"","0008000175_00074_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6901","0008000175_00075_1.jpg","0008000175_00075_2.jpg","2025-07-05 13:22","通常回答","11093157",その他,該当なし,"","0008000175_00075_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6902","0008000175_00076_1.jpg","","2025-07-05 13:22","通常回答","11023521",一般産業機械,カーリングデモ機 体験,"","0008000175_00076_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6903","0008000175_00077_1.jpg","0008000175_00077_2.jpg","2025-07-05 13:22","通常回答","11093157",その他,該当なし,"","0008000175_00077_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6904","0008000175_00078_1.jpg","","2025-07-05 13:26","通常回答","11023521",商社,カーリングデモ機 体験,"","0008000175_00078_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6905","0008000175_00079_1.jpg","","2025-07-05 13:28","通常回答","11092181",商社,機械要素部品/SIGNAS,"THK製品の勉強","0008000175_00079_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6906","0008000175_00080_1.jpg","","2025-07-05 13:29","通常回答","11023521",商社,カーリングデモ機 体験,"","0008000175_00080_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6907","0008000175_00081_1.jpg","","2025-07-05 13:31","通常回答","11023521",商社,カーリングデモ機 体験,"","0008000175_00081_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6908","0008000175_00082_1.jpg","","2025-07-05 13:31","通常回答","11023521",商社,カーリングデモ機 体験,"","0008000175_00082_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6909","0008000175_00083_1.jpg","","2025-07-05 13:32","通常回答","11023521",商社,カーリングデモ機 体験,"","0008000175_00083_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6911","0008000175_00084_1.jpg","0008000175_00084_2.jpg","2025-07-05 13:40","通常回答","11093157",学校/官公庁/研究機関,該当なし,"","0008000175_00084_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6913","0008000175_00085_1.jpg","","2025-07-05 13:56","通常回答","11023521",商社,SIGNAS,"会社名不明だが、ユーザーさんとこられいた。
無人搬送台車を検討している部署があり、紹介を行う","0008000175_00085_staff_data_5.jpg",カタログ希望、情報収集/挨拶・売込み,"","",,,,
"6914","0008000175_00086_1.jpg","0008000175_00086_2.jpg","2025-07-05 13:58","通常回答","11093157",商社,該当なし,"","0008000175_00086_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6915","0008000175_00087_1.jpg","","2025-07-05 14:11","通常回答","11092181",商社,カーリングデモ機 体験,"","0008000175_00087_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6916","0008000175_00088_1.jpg","","2025-07-05 14:11","通常回答","11092181",商社,カーリングデモ機 体験,"","0008000175_00088_staff_data_5.jpg",挨拶・売込み,"","",,,,
"6917","0008000175_00089_1.jpg","0008000175_00089_2.jpg","2025-07-05 14:34","通常回答","11093157",学校/官公庁/研究機関,機械要素部品,"比較テーブル
生徒にLMガイド説明するのを、どうするかアドバイスほしい","0008000175_00089_staff_data_5.jpg",カタログ希望、情報収集,"","",,,,
"6918","0008000175_00090_1.jpg","0008000175_00090_2.jpg","2025-07-05 14:45","通常回答","11093157",商社,該当なし,"","0008000175_00090_staff_data_5.jpg",カタログ希望、情報収集,"","",,,,
"6919","0008000175_00091_1.jpg","0008000175_00091_2.jpg","2025-07-05 15:07","通常回答","11093157",その他,機械要素部品,"設計","0008000175_00091_staff_data_5.jpg",カタログ希望、情報収集,"","",,,,
